Text,Datetime,Location,Hashtags,polarity,subjectivity
eat votes best freedom quotes leaders mandela freedomday anc da eff,17:04:28 08:31:37,South Africa,"['Mandela', 'FreedomDay', 'ANC', 'DA', 'EFF']",1.0,0.3
perfect time da eff launch another vote confince zuma parliament cabinetreshuffle,17:03:30 22:27:51,South Africa,"['DA', 'EFF', 'Zuma', 'cabinetreshuffle']",1.0,1.0
coalition 2019 best chances getting votes anc minorities parties excl da eff,17:04:24 00:29:24,South Africa,"['coalition', 'SouthAfrica', 'ANC', 'DA', 'EFF']",1.0,0.3
please anc keep zuma dynasty going best election tool opposition ears eff da udm ifp cope acdp et al,17:04:24 09:25:23,South Africa,"['ANC', 'Zuma', 'EFF', 'DA', 'UDM', 'IFP', 'COPE', 'ACDP']",1.0,0.3
ancdecides election best repait damage done anc reputation zuma,17:12:18 09:53:42,"Milnerton, South Africa","['ANCDecides', 'ANC', 'Zuma']",1.0,0.3
poll make best deputy president anc vote,17:11:21 09:06:52,"Durban, South Africa","['POLL', 'ANC']",1.0,0.3
please anc keep zuma dynasty going best election tool opposition ears eff da udm ifp cope acdp et al,17:04:24 09:25:23,South Africa,"['ANC', 'Zuma', 'EFF', 'DA', 'UDM', 'IFP', 'COPE', 'ACDP']",1.0,0.3
corruption vote rigging anc best anc54,17:12:17 05:20:57,South Africa,"['ANC', 'ANC54']",1.0,0.3
vdmerwe lol awesome liezl make proud vote ifp,17:04:10 19:07:09,South Africa,['IFP'],0.8666666666666667,0.9
eff malema says need remove patronage anc anc continues win elections want level playing field,17:01:23 11:14:34,"Johannesburg, South Africa",['EFF'],0.8,0.4
think da da maimane win vote noconfidence zuma anc secretballot,17:08:05 22:52:16,South Africa,"['DA', 'Maimane', 'NoConfidence', 'Zuma', 'ANC', 'SecretBallot']",0.8,0.4
hope thing stronger fear zuma proved noconfidencevote win wmc da eff zumavote zumawin wmcfall,17:08:11 07:06:39,South Africa,"['ZUMA', 'NoConfidenceVote', 'WMC', 'DA', 'EFF', 'zumavote', 'zumawin', 'wmcfall']",0.8,0.4
smalema going hell da win 2019 elections,17:08:06 05:31:22,"Pretoria, South Africa",['DA'],0.8,0.4
think win anc elective conference please vote retweet majozipoll anc54,17:12:14 04:39:14,"Johannesburg, South Africa","['ANC', 'MajoziPoll', 'ANC54']",0.8,0.4
cr making flops b4 comes power jhb metro belongs people jhb anc hey baba focus going win remember yet nominated voted lobbying still goes even conference,17:12:08 04:24:08,"Soweto, South Africa",['Anc'],0.8,0.4
johannrupert sponsored campaigns buying anc mp majority win elections plan rupertmustfall,17:10:24 11:35:47,South Africa,"['JohannRupert', 'ANC', 'RupertMustFall']",0.8,0.4
well zumas exwife win anc election zuma fire ramaphosa within 60 daysand hes scotfree,17:12:08 11:00:35,"Johannesburg, South Africa",['Anc'],0.8,0.4
zikalala nkosazana win 300 votes anc decides anc54 dstv405,17:12:17 12:35:22,"Midrand, South Africa","['ANC', 'ANC54', 'Dstv405']",0.8,0.4
maybe win votes give anc eff owes explanation effsoldout,17:03:26 16:44:04,SA,"['EFF', 'EFFsoldOut']",0.8,0.4
congrats smalema change policies land grab nationalization etc eff win votes,17:09:05 12:31:32,South Africa,['EFF'],0.8,0.4
lol eff cope da juliusmalema noconfidencevote shame opposition mapara week,17:08:10 20:25:08,"Johanessburg,South Africa","['EFF', 'Cope', 'DA', 'JuliusMalema', 'NoConfidenceVote']",0.8,0.7
anc win 2019 elections whether ndz cr leads party mantashe anc,17:12:13 12:00:36,Brakpan,['ANC'],0.8,0.4
nb byelection unfolding metsihaholo projects anc gets thumped da holds eff sacp v well blows away assumption eff peaked sacp cannot win votes eg iketsetseng school anc 37 201469 eff 37 15 sacp 14 da 7 10,17:11:30 11:31:02,"The Karoo, South Africa","['metsihaholo', 'ANC', 'EFF', 'SACP', 'EFF', 'SACP']",0.8,0.4
anc yet fiddling votes happy buying votes stealing elections senzomchunu screwed twice anc whats comment sg magashule,17:12:19 09:00:34,South Africa,"['ANC', 'SenzoMchunu', 'Magashule']",0.8,1.0
anc54 mbete says ramaphosa leader help anc win elections 2019 ancconference,17:12:17 03:02:56,South Africa,"['ANC54', 'ANC', 'ANCConference']",0.8,0.4
anc54 mbete says ramaphosa leader help anc win elections 2019 ancconference,17:12:17 03:02:35,"Johannesburg, South Africa","['ANC54', 'ANC', 'ANCConference']",0.8,0.4
2019elections eff looking even attractive animalfarm playing zumamustfall zumamustfaceimpeachment,17:03:30 22:05:55,"Port Elizabeth, South Africa","['2019Elections', 'EFF', 'AnimalFarm', 'ZumaMustFall', 'ZumaMustFaceImpeachment']",0.8,1.0
ramaphosa set win anc election read analysts insights todays morning report election anc,17:12:05 08:33:14,Cape Town,"['election', 'ANC']",0.8,0.4
ternator voted da two electionsnever whites welcome racist blacks,17:08:06 08:51:51,"Pietermaritzburg, SouthAfrica",['DA'],0.8,0.9
anc votes elect successor party leader zuma,17:12:18 02:45:27,South Africa,['ANC'],0.8,0.9
lol eff cope da juliusmalema noconfidencevote shame opposition mapara week,17:08:10 20:25:08,"Johanessburg,South Africa","['EFF', 'Cope', 'DA', 'JuliusMalema', 'NoConfidenceVote']",0.8,0.7
please anc recall zuma opposition need votes bring win election2019,17:12:24 06:17:06,South Africa,"['ANC', 'Zuma', 'Election2019']",0.8,0.4
anc biggest mistake would elect ndz17 ndz president presidential candidate come national anc hope know hope works coz south africans wont vote anc come 2019 theyll governing party trust,17:12:11 13:12:16,"East London, South Africa ","['NDZ17', 'NDZ', 'ANC']",0.8,0.9
eff indeed win 2019 election agree juju coz anc death da opposition eff dont stand chance,17:07:23 13:46:32,South Africa,"['EFF', 'Juju', 'ANC', 'DA', 'EFF']",0.8,0.4
nb byelection unfolding metsihaholo projects anc gets thumped da holds eff sacp v well blows away assumption eff peaked sacp cannot win votes eg iketsetseng school anc 37 201469 eff 37 15 sacp 14 da 7 10,17:11:30 11:31:02,"The Karoo, South Africa","['metsihaholo', 'ANC', 'EFF', 'SACP', 'EFF', 'SACP']",0.8,0.4
cr17 doesnt win vote wont going anc,17:12:18 16:20:04,"Pretoria, South Africa","['CR17', 'ANC']",0.8,0.4
sona2017 ive ever made mistakes life voting eff 1 im proud,17:02:09 18:21:34,"Mzantsi, South Africa","['SONA2017', 'EFF']",0.8,1.0
listen everyone happy da wcape election outcome,17:10:08 13:48:39,South Africa,['DA'],0.8,1.0
team cannot win elections eff,17:10:30 17:37:53,"Cape Town, South Africa",['EFF'],0.8,0.4
twitter poll noconfidence vote secretballot think president zuma anc win vote today da eff,17:08:08 05:19:44,South Africa,"['Twitter', 'Poll', 'NoConfidence', 'SecretBallot', 'Zuma', 'ANC', 'DA', 'EFF']",0.8,0.4
play happy families election ndz clarion call duplicity see anc,17:11:20 09:11:55,South Africa,"['NDZ', 'ANC']",0.8,1.0
hope thing stronger fear zuma proved noconfidencevote win wmc da eff zumavote zumawin wmcfall,17:08:11 07:06:39,South Africa,"['ZUMA', 'NoConfidenceVote', 'WMC', 'DA', 'EFF', 'zumavote', 'zumawin', 'wmcfall']",0.8,0.4
hermanmashaba thinks hes blackbaba umnyama da dsnt change yo color eff 2 must b happy voted along da xenophobia,17:02:24 09:09:46,"Mount Edgecombe, South Africa","['hermanmashaba', 'eff', 'xenophobia']",0.8,1.0
ndz17s victory fruit bearing tree anc 5 things make us proud abt dlaminizuma support ret support education woman empowerment educated experience socialist ancvotes anc54 points,17:12:18 08:33:06,"Johannesburg, South Africa","['NDZ17', 'ANC', 'DlaminiZuma', 'RET', 'ANCVotes', 'ANC54']",0.8,1.0
lol soweto votes supports eff,17:01:08 11:37:29,South Africa,['EFF'],0.8,0.7
president anc yes president republic south africa doubts 55 anc win elections2019 great achievement,17:12:18 06:46:19,"MIDRAND,SOUTH AFRICA","['ANC', 'elections2019']",0.8,0.575
twitter poll noconfidence vote secretballot think president zuma anc win vote today da eff,17:08:08 05:19:44,South Africa,"['Twitter', 'Poll', 'NoConfidence', 'SecretBallot', 'Zuma', 'ANC', 'DA', 'EFF']",0.8,0.4
magashule secretarygeneral anc anc54 yoh happy election,17:12:18 17:35:37,South Africa,"['Magashule', 'ANC', 'ANC54']",0.8,1.0
wise brave words truth fools tell politicians care politicians liars say yes indeed said democracy anc54 ancdecides2017 electionresults da eff sacp udm etc,17:12:18 12:27:49,South Africa,"['Democracy', 'ANC54', 'ANCdecides2017', 'ElectionResults', 'DA', 'EFF', 'SACP', 'UDM', 'etc']",0.75,0.95
zumavote eff strategic raising pointoforder successfully interrupt anc mp dont make sense,17:08:08 13:45:31,"Pretoria, South Africa","['ZumaVote', 'EFF', 'PointOfOrder', 'ANC', 'MP']",0.75,0.95
listener asks vote anc gwede distance travelled wonderful country better shape gwedeoneusebius,17:10:24 09:00:34,"Johannesburg, South Africa","['ANC', 'Gwede', 'GwedeOnEusebius']",0.75,0.75
wise brave words truth fools tell politicians care politicians liars say yes indeed said democracy anc54 ancdecides2017 electionresults da eff sacp udm etc,17:12:18 12:27:49,South Africa,"['Democracy', 'ANC54', 'ANCdecides2017', 'ElectionResults', 'DA', 'EFF', 'SACP', 'UDM', 'etc']",0.75,0.95
good read breakdown delegates groups voting anc conference nasrec anc leadership race go wire heres via africa,17:12:09 11:43:15,Johannesburg,"['ANC', 'NASREC']",0.7,0.6000000000000001
good luck eff nquthu municipality election,17:05:24 06:01:02,"Soweto, South Africa",['EFF'],0.7,0.6000000000000001
good wednesday anc lost election ifp kzn could lose metsimaholo eff coalition fs people spoken,17:11:30 09:17:13,South Africa,"['ANC', 'IFP', 'Metsimaholo', 'EFF']",0.7,0.6000000000000001
victory cr17 victory wmc ramaphosa vote buying ancconference2017 give great chance defeat ret happens president anc popular womanizer murderer,17:12:20 17:54:41,South Africa,"['CR17', 'WMC', 'Ramaphosa', 'Vote', 'ANCConference2017', 'RET', 'ANC', 'SA', 'Womanizer', 'Murderer']",0.7,0.825
victory cr17 victory wmc ramaphosa vote buying ancconference2017 give great chance defeat ret happens president anc popular womanizer murderer,17:12:20 18:12:30,South Africa,"['CR17', 'WMC', 'Ramaphosa', 'Vote', 'ANCConference2017', 'RET', 'ANC', 'SA', 'Womanizer', 'Murderer']",0.7,0.825
good wednesday anc lost election ifp kzn could lose metsimaholo eff coalition fs people spoken,17:11:30 09:17:13,South Africa,"['ANC', 'IFP', 'Metsimaholo', 'EFF']",0.7,0.6000000000000001
victory cr17 victory wmc ramaphosa vote buying ancconference2017 give great chance defeat ret happens president anc popular womanizer murderer,17:12:20 21:16:06,South Africa,"['CR17', 'WMC', 'Ramaphosa', 'Vote', 'ANCConference2017', 'RET', 'ANC', 'SA', 'Womanizer', 'Murderer']",0.7,0.825
come jj tabane us didnt vote outcome yase mpumalanga province yet good standing anc movement waiting 2019to voice utterances powerperspective,17:12:03 21:45:30,"South Africa,Pretoria","['ANC', 'powerperspective']",0.7,0.6000000000000001
anc lost jozi fair square elections wanna get jozi via backdoors leanya goooed handsoffmashaba eff da,17:11:30 10:20:19,"Pretoria, South Africa","['ANC', 'HandsOffMashaba', 'EFF', 'DA']",0.7,0.9
da maimane says good chance anc may get 50 vote 2019 opposition planning coalition govt 2019,17:10:15 21:55:50,South Africa,"['DA', 'Maimane', 'ANC', 'Coalition']",0.7,0.6000000000000001
smell good 2019 election eff,17:10:21 06:17:28,"Durban, South Africa",['EFF'],0.7,0.6000000000000001
eff anc mps mps must vote conscience good country eff regarding mogalecity,17:07:11 18:14:22,"Johannesburg, South Africa","['EFF', 'MogaleCity']",0.7,0.6000000000000001
anc lost jozi fair square elections wanna get jozi via backdoors leanya goooed handsoffmashaba eff da,17:11:30 10:20:19,"Pretoria, South Africa","['ANC', 'HandsOffMashaba', 'EFF', 'DA']",0.7,0.9
must forget good governance people commit fraud votes anc sg doomed,17:12:21 03:07:15,South Africa,['ANC'],0.7,0.6000000000000001
upcoming byelections ward 14 lepelle nkumpi sub region capricorn region polokwane limpopo good luck eff fighters,17:09:16 17:45:32,South Africa,['EFF'],0.7,0.6000000000000001
jimmy victory cr17 victory wmc ramaphosa vote buying ancconference2017 give great chance defeat ret happens president anc popular womanizer murderer,17:12:21 18:54:30,South Africa,"['Jimmy', 'CR17', 'WMC', 'Ramaphosa', 'Vote', 'ANCConference2017', 'RET', 'ANC', 'SA', 'Womanizer', 'Murderer']",0.7,0.825
victory cr17 victory wmc ramaphosa vote buying ancconference2017 give great chance defeat ret happens president anc popular womanizer murderer,17:12:21 14:32:12,South Africa,"['CR17', 'WMC', 'Ramaphosa', 'Vote', 'ANCConference2017', 'RET', 'ANC', 'SA', 'Womanizer', 'Murderer']",0.7,0.825
good wednesday anc lost election ifp kzn could lose metsimaholo eff coalition fs people spoken,17:11:30 09:17:13,South Africa,"['ANC', 'IFP', 'Metsimaholo', 'EFF']",0.7,0.6000000000000001
anc lost jozi fair square elections wanna get jozi via backdoors leanya goooed handsoffmashaba eff da,17:11:30 10:20:19,"Pretoria, South Africa","['ANC', 'HandsOffMashaba', 'EFF', 'DA']",0.7,0.9
victory cr17 victory wmc cyrilramaphosa vote buying ancconference2017 give great chance defeat ret happens president anc popular womanizer murderer,17:12:19 06:42:17,"Johannesburg, South Africa","['CR17', 'WMC', 'CyrilRamaphosa', 'Vote', 'ANCConference2017', 'RET', 'ANC', 'SA', 'Womanizer', 'Murderer']",0.7,0.825
news eff winning election 2019 unachievable dream didnt win even one municipality 3 august 2016,17:09:17 14:23:57,"Durban, South Africa",['EFF'],0.65,0.575
ndz win guptas safe anc problems 2019 elections ancconference2017,17:12:18 09:32:14,Pretoria,"['NDZ', 'ANC', 'ANCConference2017']",0.65,0.45
congratulations ifp winning nquthu municipal vote sign great things come 2019,17:05:25 07:48:56,"Mpumalanga, South Africa","['IFP', 'nquthu']",0.65,0.75
cheers perfect ramaphosa wins anc elections media finds blame zuma foolish thing encounter wmcstooges work,17:12:27 07:19:22,South Africa,"['Ramaphosa', 'ANC', 'Zuma', 'WMCStooges']",0.65,0.6
moment jacobzuma realized ndz17 president anc oh look extremely happy anc54 ancvotes ancconference2017 cyrilramaphosa cr17 cyril cyrilramaphosasapresident victory happy satisfied excited,17:12:18 18:21:31,South Africa,"['JacobZuma', 'NDZ17', 'ANC', 'ANC54', 'ANCVotes', 'ANCConference2017', 'CyrilRamaphosa', 'CR17', 'Cyril', 'CyrilRamaphosaSAPresident', 'SouthAfrica', 'Victory', 'Happy', 'Satisfied', 'Excited']",0.61875,0.9375
da eff guys realize ancelections sideshow provide credible attractive alternative 2019,17:09:13 06:48:04,South Africa,"['DA', 'EFF', 'ANCELECTIONS']",0.6000000000000001,0.85
da eff guys realize ancelections sideshow provide credible attractive alternative 2019,17:09:13 06:48:04,South Africa,"['DA', 'EFF', 'ANCELECTIONS']",0.6000000000000001,0.85
balekambete really believes gonna win anc presidential election quite literally delusional point win covering zuma 702townhall,17:11:27 19:47:10,Johannesburg,"['BalekaMbete', 'ANC', 'Zuma', '702TownHall']",0.6,0.3333333333333333
eff enthusiastic chanting parliamenthope niyi nqobile le mpi smalema zumavote,17:08:08 16:42:06,Cape Town,"['EFF', 'zumavote']",0.6,0.9
lot nec anc delegates elected underperformed compromised one another remain popular say something quality voting delegates,17:12:21 05:48:39,"Cape Town, South Africa","['NEC', 'ANC']",0.6,0.9
anckznpgc irony ndz would win presidency cr17 elective conference anc comrades would want us vote anc 2019 elections pretend never opposed appointment president vice versa also true,17:12:04 20:59:09,"Johannesburg, South Africa","['ANCKZNPGC', 'NDZ', 'CR17', 'ANC']",0.575,0.525
